x,y
77,68
51,38
78,67
79,65
79,67
52,33
80,65
48,32
77,66
76,67
56,33
77,69
60,37
49,32
58,34
53,32
79,68
54,33
74,73
53,33
72,75
74,75
52,32
75,73
51,32
50,32
76,72
28,8
76,70
77,72
77,74
75,74
75,70
76,80
77,81
76,81
76,82
76,78
76,77
78,78
79,79
79,80
74,82
73,80
75,81
75,82
74,83
75,85
73,85
73,86
72,83
73,83
